RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,DemVotes,MarginShift,Immigrant,IsInitial,PercentVoters,NumEligibleVoters,success,RelativeDateFiled,RelativeTallyDate,FileToTallyDays,NumElectionsInState
0,69456.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.4137931034,29,1,162,281,119,5
0,69456.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.4848484848,33,1,162,281,119,6
0,69456.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.7878787879,33,0,162,281,119,7
0,44233.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.4324324324,37,1,162,283,121,8
1,53420.00,7,0.4753,4.1,0.47,0.02,17.2,1,0.5714285714,28,1,162,288,126,1
0,67046.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.9534883721,86,1,163,214,51,13
0,63973.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.85,20,1,164,246,82,14
0,102799.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.7333333333,15,0,164,246,82,15
0,67046.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.4333333333,30,1,164,242,78,16
0,104409.00,10,0.4397,21.9,0.64,0.02,18.7,1,0.8823529412,17,0,165,245,80,1
0,50536.00,7,0.4745,12.7,0.5,0.01,7.2,1,0.9090909091,22,1,165,226,61,5
0,105344.00,12,0.48,13.1,0.58,0.02,14.1,1,0.7777777778,27,1,168,239,71,5
1,93239.00,11,0.469,3.7,0.54,0.02,12.5,1,0.6774193548,31,1,168,232,64,3
1,75657.00,7,0.4391,7.1,0.49,0.02,5.1,1,0.7419354839,31,1,168,240,72,1
0,51736.00,12,0.48,13.1,0.58,0.02,14.1,1,0.6111111111,18,1,168,239,71,6
1,51421.00,11,0.469,3.7,0.54,0.02,12.5,1,0.4642857143,28,1,168,232,64,4
1,51421.00,11,0.469,3.7,0.54,0.02,12.5,1,0.75,20,1,168,304,136,5
1,45664.00,11,0.469,3.7,0.54,0.02,12.5,1,0.6086956522,23,1,168,301,133,6
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.625,104,1,168,234,66,5
0,59717.00,10,0.4434,14.2,0.52,0.02,8.6,1,0.75,20,1,168,240,72,1
1,69720.00,7,0.4743,2.8,0.49,0.02,7.9,1,1.0,12,0,169,246,77,1
1,51421.00,11,0.469,3.7,0.54,0.02,12.5,1,0.3529411765,17,1,169,304,135,7
1,58259.00,7,0.4747,1.7,0.43,0.02,5.1,1,0.3103448276,29,1,170,259,89,1
1,55531.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.68,25,1,170,253,83,2
0,137618.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.75,36,1,170,246,76,17
1,46461.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.2121212121,33,1,170,268,98,3
1,46461.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.6857142857,35,0,170,268,98,4
0,76298.00,14,0.4803,12.7,0.66,0.02,17.4,0,1.076923077,13,0,171,318,147,7
0,107490.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.2307692308,26,1,171,304,133,8
0,164607.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.5833333333,12,0,171,304,133,9
0,31838.00,9,0.4651,12.8,0.45,0.02,4.8,1,0.4,25,1,176,323,147,2
0,62823.00,9,0.4651,12.8,0.45,0.02,4.8,1,0.5,16,1,176,323,147,3
1,171705.00,7,0.4739,5.5,0.32,0.02,6.0,0,0.6857142857,35,1,176,329,153,1
1,60914.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.4516129032,31,0,176,248,72,3
1,71450.00,7,0.4391,7.1,0.49,0.02,5.1,1,0.3529411765,34,1,176,247,71,2
1,51421.00,11,0.469,3.7,0.54,0.02,12.5,1,0.6785714286,28,1,177,232,55,8
1,103438.00,11,0.469,3.7,0.54,0.02,12.5,1,0.8181818182,22,0,177,227,50,9
1,33133.00,11,0.469,3.7,0.54,0.02,12.5,1,0.5555555556,27,1,178,246,68,10
1,55531.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.6428571429,14,1,178,253,75,5
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.8571428571,14,1,178,242,64,6
0,84684.00,13,0.4782,14.9,0.57,0.01,22.8,1,0.3928571429,28,1,179,245,66,2
0,63185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.7,30,1,179,242,63,7
1,60914.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.4642857143,28,1,179,248,69,4
0,52689.00,14,0.45,15.5,0.57,0.03,10.3,1,0.36,25,1,182,248,66,10
0,66068.00,10,0.4434,14.2,0.52,0.02,8.6,1,0.4516129032,31,1,182,245,63,2
1,67886.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.6666666667,30,1,183,248,65,5
0,52689.00,14,0.45,15.5,0.57,0.03,10.3,1,0.4814814815,27,1,183,248,65,11
0,142845.00,13,0.4782,14.9,0.57,0.01,22.8,1,0.5555555556,18,1,183,245,62,3
0,50536.00,7,0.4745,12.7,0.5,0.01,7.2,1,0.2954545455,44,1,186,249,63,6
0,73159.00,14,0.45,15.5,0.57,0.03,10.3,1,0.8333333333,6,1,186,260,74,12
0,73159.00,14,0.45,15.5,0.57,0.03,10.3,1,0.6428571429,14,1,186,260,74,13
0,73159.00,14,0.45,15.5,0.57,0.03,10.3,1,0.6956521739,23,1,186,260,74,14
0,96487.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.7142857143,35,1,189,256,67,4
0,66410.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.5652173913,23,1,189,256,67,5
0,49127.00,7,0.4745,12.7,0.5,0.01,7.2,1,0.4230769231,26,1,189,268,79,7
0,93237.00,13,0.4558,11.6,0.65,0.03,15.1,1,0.7391304348,23,1,190,253,63,2
0,40800.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.6551724138,29,1,191,283,92,9
0,30383.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.7307692308,26,1,191,283,92,10
0,51333.00,10,0.4634,14.0,0.51,0.02,7.0,1,0.6,30,1,191,256,65,11
1,38471.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.7027027027,37,0,191,233,42,6
1,43759.00,7,0.4795,4.4,0.5,0.01,10.1,1,0.8157894737,38,1,192,241,49,2
0,67719.00,13,0.4548,6.7,0.55,0.03,9.5,1,0.5416666667,24,1,192,262,70,3
0,72661.00,13,0.4548,6.7,0.55,0.03,9.5,1,0.1923076923,26,1,192,262,70,4
0,50797.00,11,0.4633,9.6,0.41,0.02,4.2,1,0.7142857143,28,1,192,267,75,2
1,75752.00,7,0.4753,4.1,0.47,0.02,17.2,1,0.3529411765,34,1,193,284,91,2
0,73159.00,14,0.45,15.5,0.57,0.03,10.3,1,0.4090909091,22,1,193,260,67,15
0,80744.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.36,25,1,196,266,70,18
1,146922.00,11,0.469,3.7,0.54,0.02,12.5,1,0.8888888889,36,1,196,235,39,11
1,41598.00,7,0.4749,5.5,0.38,0.02,5.1,1,0.5151515152,33,1,196,269,73,3
1,113933.00,11,0.469,3.7,0.54,0.02,12.5,1,0.8333333333,30,1,196,266,70,12
1,65910.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.7647058824,17,1,196,253,57,7
1,60683.00,7,0.4749,5.5,0.38,0.02,5.1,1,0.7777777778,36,0,196,270,74,4
0,170972.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.5217391304,23,1,196,262,66,10
0,67719.00,13,0.4548,6.7,0.55,0.03,9.5,0,0.6896551724,29,0,197,528,331,5
0,65290.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.2631578947,19,1,197,266,69,6
0,31838.00,9,0.4651,12.8,0.45,0.02,4.8,1,0.8333333333,24,1,198,326,128,4
1,48791.00,7,0.4747,1.7,0.43,0.02,5.1,1,0.4444444444,27,1,198,269,71,2
0,89323.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.5652173913,23,0,198,266,68,7
1,54929.00,7,0.4764,7.9,0.36,0.02,3.8,1,0.5581395349,43,1,198,269,71,1
1,53420.00,7,0.4753,4.1,0.47,0.02,17.2,1,0.619047619,21,1,198,295,97,3
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.6,15,1,198,270,72,8
1,56456.00,7,0.4739,5.5,0.32,0.02,6.0,1,0.5151515152,33,1,199,274,75,2
0,82597.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.7857142857,14,1,200,280,80,19
0,170946.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.65,20,0,200,280,80,8
0,73159.00,14,0.45,15.5,0.57,0.03,10.3,1,0.7692307692,13,1,200,267,67,16
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.8,15,1,200,270,70,9
1,75752.00,7,0.4753,4.1,0.47,0.02,17.2,1,0.4074074074,27,1,203,277,74,4
1,33569.00,7,0.4747,1.7,0.43,0.02,5.1,1,0.7826086957,23,1,204,274,70,3
0,54902.00,9,0.4651,12.8,0.45,0.02,4.8,1,0.9230769231,13,1,204,267,63,5
0,72661.00,13,0.4548,6.7,0.55,0.03,9.5,1,0.4166666667,24,1,204,262,58,6
1,88803.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.8648648649,37,0,204,249,45,8
0,56179.00,11,0.4633,9.6,0.41,0.02,4.2,1,0.28125,32,1,204,296,92,3
0,103261.00,10,0.4434,14.2,0.52,0.02,8.6,1,0.6071428571,28,1,204,280,76,3
0,76298.00,14,0.4803,12.7,0.66,0.02,17.4,0,0.125,32,1,205,324,119,11
0,50536.00,7,0.4745,12.7,0.5,0.01,7.2,1,0.3913043478,23,1,205,269,64,8
0,50536.00,7,0.4745,12.7,0.5,0.01,7.2,0,0.6296296296,27,1,205,302,97,9
0,76723.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.3928571429,28,1,206,283,77,9
0,76723.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.4489795918,98,1,206,290,84,10
1,98922.00,11,0.4808,4.5,0.48,0.01,21.0,1,0.7142857143,42,1,206,283,77,9
0,81617.00,15,0.4866,16.1,0.64,0.02,26.9,1,0.5238095238,21,1,207,280,73,11
0,113642.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.2777777778,36,1,210,277,67,12
0,62097.00,12,0.48,13.1,0.58,0.02,14.1,1,0.5925925926,27,1,210,288,78,7
1,55598.00,7,0.45,9.8,0.42,0.02,7.2,1,0.5945945946,37,1,210,281,71,2
0,76676.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.4285714286,35,1,210,281,71,10
0,161076.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.3666666667,30,1,210,277,67,13
0,56746.00,14,0.4803,12.7,0.66,0.02,17.4,1,0.358974359,39,1,210,277,67,14
1,53621.00,7,0.4743,2.8,0.49,0.02,7.9,1,0.7391304348,23,0,211,254,43,2
1,85796.00,13,0.4591,5.5,0.49,0.02,13.4,1,0.5882352941,17,0,211,283,72,6
0,97185.00,14,0.4577,18.0,0.58,0.03,14.7,1,0.4,20,1,211,281,70,11
0,93327.00,13,0.5149,20.7,0.61,0.01,22.8,1,0.7368421053,19,1,212,260,48,20
