DateFiled,TallyDate,City,State,RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,White,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino,DemVotes,MarginShift,Immigrant,Address,Status,Case Name,Labor Union,Ballot Type,IsInitial,IsRevised,VotesFor,VotesAgainst,PercentVoters,NumEligibleVoters,success,Case
12/27/2021,4/5/2022,Knoxville,TN,1,"41,598.00",7,0.4749,5.5,0.7091,0.1568,0.0022,0.0194,0.0005,0.0035,0.0391,0.0693,0.38,0.02,5.1,"115 Merchant Drive, Knoxville, Tennessee",Unionized,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,Initial,1,0,8,7,0.5555555556,27,1,10-RC-288098
12/30/2021,4/22/2022,Louisville,CO,0,"116,073.00",13,0.4548,6.7,0.6513,0.0383,0.0058,0.0338,0.0016,0.0051,0.0452,0.2188,0.55,0.03,9.5,"2800 Rock Creek Circle, A1, Superior, Colorado",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",Initial,1,0,12,2,0.4666666667,30,1,27-RC-288318
1/3/2022,6/7/2022,Chicago,IL,0,"62,097.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"155 N Wabash, Chicago, Illinois",Voted Failed,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,6,7,0.9285714286,14,0,13-RC-288328
1/7/2022,4/13/2022,Eugene,OR,0,"52,689.00",14,0.45,15.5,0.7165,0.0186,0.0099,0.0453,0.0043,0.0054,0.0611,0.1389,0.57,0.03,10.3,"2830 Willamette St., Eugene, Oregon",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,17,0,0.6071428571,28,1,19-RC-288594
1/10/2022,6/7/2022,Chicago,IL,0,"62,097.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,2543 N. California,Voted Failed,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,8,10,0.8181818182,22,0,13-RC-288667
1/10/2022,5/24/2022,Cleveland,OH,0,"31,838.00",9,0.4651,12.8,0.7589,0.1235,0.0016,0.0251,0.0004,0.0038,0.0425,0.0442,0.45,0.02,4.8,"1374 West 6th Street, Cleveland Ohio",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,10,0,0.4545454545,22,1,08-RC-288697
1/11/2022,4/25/2022,Hopewell (Township),NJ,0,"153,281.00",13,0.4782,14.9,0.5185,0.1242,0.0012,0.1015,0.0002,0.0076,0.0312,0.2156,0.57,0.01,22.8,"800 Denow Road, Pennington, New Jersey",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,15,0,0.5769230769,26,1,22-RC-288780
1/11/2022,5/3/2022,Tallahassee,FL,1,"46,461.00",11,0.4808,4.5,0.5154,0.1452,0.002,0.0292,0.0005,0.0064,0.0368,0.2645,0.48,0.01,21,"2264-1 N. Monroe Street, Tallahassee, Florida",Unionized,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,Initial,1,0,16,1,0.4857142857,35,1,12-RC-288866
1/14/2022,6/7/2022,Chicago,IL,0,"62,097.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"1174 E 55th St, Chicago, Illinois",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,5,3,0.6153846154,13,1,13-RC-288994
1/14/2022,5/6/2022,La Grange,IL,0,"122,629.00",12,0.48,13.1,0.5832,0.1386,0.0013,0.0583,0.0002,0.0035,0.0324,0.1824,0.58,0.02,14.1,"38 S. LaGrange Rd., LaGrange, Illinois",Voted Failed,Starbucks Corporation,Chicago & Midwest Regional Joint Board,Initial,1,0,6,9,0.8333333333,18,0,13-RC-288995
1/18/2022,5/3/2022,Boston,MA,0,"76,298.00",14,0.4803,12.7,0.6755,0.065,0.0013,0.0718,0.0002,0.0131,0.0467,0.1263,0.66,0.02,17.4,"217 Western Avenue, Boston, MA",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,7,0,0.5,14,1,01-RC-289055
1/18/2022,5/3/2022,Brighton,MA,0,"68,656.00",14,0.4803,12.7,0.6755,0.065,0.0013,0.0718,0.0002,0.0131,0.0467,0.1263,0.66,0.02,17.4,"1948 Beacon Street, Brighton, MA",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,8,2,0.4545454545,22,1,01-RC-289077
1/18/2022,3/25/2022,Mesa,AZ,1,"61,640.00",13,0.4591,5.5,0.5337,0.0443,0.0369,0.0348,0.002,0.0044,0.0373,0.3065,0.49,0.02,13.4,"1222 S. Crismon Road, Mesa, Arizona",Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,11,3,0.5,28,1,28-RC-289033
